MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT
Yodha (1991 film)_1991,1991,1.0,4,2.0,6
Fan (film)_2016,2016,6,0.0,8,0.0
Kill Dil_2014,2014,11,2.0,19,2.0
Akhri Muqabla_1988,1988,2.0,1,5.0,8
Roop Tera Mastana_1972,1972,3,1.0,5,4.0
Gunehgar Kaun_1991,1991,2,1.0,3,4.0
Param Vir Chakra (film)_1995,1995,4,3.0,13,5.0
Ek Nanhi Munni Ladki Thi_1970,1970,2,1.0,4,2.0
Krodh (film)_2000,2000,2,3.0,2,8.0
Detective Byomkesh Bakshy_2015,2015,6,2.0,6,2.0
Rang Birangi_1983,1983,2,0.0,2,0.0
Hameshaa_1997,1997,3,2.0,6,6.0
Dushman (1972 film)_1972,1972,1.0,1,2.0,3
Sulemani Keeda (film)_2014,2014,1.0,1,1.0,2
Avtaar_1983,1983,3,3.0,7,3.0
Silsila Hai Pyar Ka_1999,1999,2,4.0,3,7.0
Aakhri Sangram_1984,1984,2,1.0,3,2.0
Ghost (2012 film)_2012,2012,3,1.0,4,1.0
Ram-Avtar_1988,1988,1.0,2.0,1.0,5.0
Rani Aur Lalpari_1975,1975,1.0,1,2.0,5
Loha (1997 film)_1997,1997,2.0,1,3.0,2
Janam Se Pehle_1994,1994,2,2.0,5,4.0
Touhean_1989,1989,2.0,3,3.0,9
Gol Maal_1979,1979,3,1.0,7,2.0
Mausam (2011 film)_2011,2011,6.0,0.0,10.0,0.0
Mili (1975 film)_1975,1975,2,1.0,5,1.0
Sankalp_1975,1975,4.0,0.0,7.0,0.0
Dev.D_2009,2009,0.0,0.0,0.0,0.0
Agni Rekha_1973,1973,3.0,2,3.0,4
Mere Apne_1971,1971,3,1.0,4,1.0
Stuntman (film)_1994,1994,2,2.0,6,6.0
Pyar Hua Chori Chori_1992,1992,2,3.0,4,8.0
Billoo Badshah_1989,1989,1,0.0,2,0.0
Gumrah (1993 film)_1993,1993,0.0,3.0,0.0,3.0
New York (film)_2009,2009,2,1.0,2,2.0
Asmaan Se Ooncha_1989,1989,2.0,3,3.0,5
Asli Naqli_1986,1986,0.0,2,0.0,4
Godmother (film)_1999,1999,0.0,3,0.0,4
Aloo Chaat (film)_2009,2009,2.0,1.0,3.0,3.0
Dhuaan_1981,1981,1.0,3,1.0,5
Yaraana (1995 film)_1995,1995,1,2.0,2,7.0
Ikke Pe Ikka_1994,1994,2.0,2,2.0,4
Meera (1979 film)_1979,1979,0.0,1,0.0,12
Mere Jeevan Saathi (1972 film)_1972,1972,1,2.0,6,2.0
Apne Rang Hazaar_1975,1975,0.0,0.0,0.0,0.0
Ajnabee (1974 film)_1974,1974,2,2.0,5,3.0
Amar Deep (1979 film)_1979,1979,1,3.0,3,3.0
Arpan_1983,1983,2.0,1,2.0,4
Ek Thi Daayan_2013,2013,2.0,2,2.0,3
Bhoothnath Returns_2014,2014,3.0,0.0,6.0,0.0
Hum Paanch (film)_1980,1980,4.0,3,4.0,3
Hum Dono (1985 film)_1985,1985,1,3.0,6,8.0
Lok Parlok_1979,1979,1,1.0,5,4.0
Hello Darling_2010,2010,1.0,5,1.0,7
Anand Ashram_1977,1977,3,3.0,5,3.0
Mai (2013 film)_2013,2013,2.0,2,2.0,3
99 (2009 film)_2009,2009,3,0.0,3,0.0
Appu Raja_1990,1990,2,2.0,5,2.0
Ajooba (1991 film)_1991,1991,1.0,3.0,3.0,4.0
Mallika (2010 film)_2010,2010,1.0,3,1.0,4
Fauji (1995 film)_1995,1995,1.0,2,1.0,10
Maha Sati Savitri_1973,1973,1,1.0,2,7.0
Pavitra Paapi_1970,1970,2,4.0,3,7.0
Shankara (1991 film)_1991,1991,1.0,2.0,2.0,10.0
Mandi (film)_1983,1983,0.0,2,0.0,4
Saaz Aur Sanam_1971,1971,1,2.0,4,6.0
Hum Naujawan_1985,1985,2.0,3,2.0,5
Umar 55 Ki Dil Bachpan Ka_1992,1992,3.0,3,10.0,6
Sauda (film)_1995,1995,3.0,2,6.0,4
Dost Aur Dushman_1971,1971,1.0,2,3.0,6
Dost (1974 film)_1974,1974,3,1.0,4,2.0
Jai Ho (film)_2014,2014,2.0,2.0,3.0,3.0
Heer Raanjha_1970,1970,1.0,3,3.0,6
Dooriyaan_1979,1979,0.0,1,0.0,1
Jhoothi_1985,1985,1,3.0,4,9.0
Muskurahat (1992 film)_1992,1992,3,3.0,7,4.0
Dancer (1991 film)_1991,1991,4,3.0,20,6.0
Befikre_2016,2016,7,1.0,8,1.0
Lalach_1983,1983,4,1.0,7,1.0
Mickey Virus_2013,2013,4,1.0,4,2.0
Salaami_1994,1994,2,3.0,7,8.0
Aandhi-Toofan_1985,1985,0.0,1.0,0.0,1.0
Chor Machaye Shor_1974,1974,1,2.0,2,4.0
Saaransh_1984,1984,0.0,1.0,0.0,2.0
Ishq Click_2016,2016,6,3.0,9,3.0
Mahal (1989 film)_1989,1989,1,2.0,2,6.0
Pyaar Ke Do Pal_1986,1986,0.0,1,0.0,2
Jazbaat (1994 film)_1994,1994,0.0,2,0.0,7
Agent Vinod (2012 film)_2012,2012,2,0.0,9,0.0
Pardesi Babu_1998,1998,6,2.0,9,3.0
Sainik_1993,1993,1,4.0,4,5.0
Sangharsh (1999 film)_1999,1999,3,1.0,6,2.0
Mom Ki Gudiya_1972,1972,1.0,2.0,2.0,3.0
Hawas_1974,1974,1.0,1,1.0,4
Jab Harry Met Sejal_2017,2017,2.0,2,2.0,2
Qatl_1986,1986,1.0,2.0,2.0,6.0
Naam (1986 film)_1986,1986,1.0,2.0,1.0,2.0
Sadak Chhap_1987,1987,2,2.0,6,4.0
Naya Din Nai Raat_1974,1974,2.0,2,2.0,4
Ladaai_1989,1989,1.0,2,1.0,2
Swarg Yahan Narak Yahan_1991,1991,4,2.0,11,8.0
Ranbhoomi_1991,1991,2.0,4,2.0,5
Ek Ladka Ek Ladki_1992,1992,3,3.0,5,6.0
Chacha Bhatija_1977,1977,2.0,1,3.0,3
Khotey Sikkay_1974,1974,1,2.0,1,3.0
Sindoor (film)_1987,1987,3.0,2,3.0,5
Aarambh_1976,1976,2,2.0,4,6.0
Sapnay (1997 film)_1997,1997,6,6.0,6,6.0
Tridev_1989,1989,3,4.0,3,11.0
Daku Hasina_1987,1987,2,3.0,2,3.0
Aaina (1993 film)_1993,1993,4,3.0,4,9.0
Vaada Raha_2009,2009,2,0.0,5,0.0
Aashiq Awara_1993,1993,1.0,3,4.0,7
Sadda Adda_2012,2012,2,1.0,6,2.0
Traffic (2016 film)_2016,2016,3,2.0,3,3.0
Kissi Se Na Kehna_1983,1983,1.0,1,1.0,5
Ahimsa (1979 film)_1979,1979,4,1.0,5,3.0
Banarasi Babu (1973 film)_1973,1973,1,2.0,6,10.0
Ek Hi Bhool_1981,1981,1,2.0,1,4.0
Radha Ka Sangam_1992,1992,2.0,3,3.0,7
Har Dil Jo Pyar Karega_2000,2000,4.0,1,7.0,4
Duplicate (1998 film)_1998,1998,4.0,2,7.0,4
Pathreela Raasta_1994,1994,3.0,2,7.0,7
Prem Geet_1981,1981,2.0,2,3.0,5
Saajan Chale Sasural_1996,1996,3.0,2.0,7.0,5.0
Chameli Ki Shaadi_1986,1986,2,2.0,2,3.0
Jeena Teri Gali Mein_1991,1991,4.0,1,6.0,9
Virodhi (1992 film)_1992,1992,2,2.0,4,3.0
Jaane-Anjaane_1971,1971,3,4.0,4,5.0
Agneepath (1990 film)_1990,1990,3.0,4,3.0,4
Chitchor (1976 film)_1976,1976,1,1.0,4,2.0
Deewana Mastana_1997,1997,2.0,3.0,4.0,5.0
Trishakti_1999,1999,4,0.0,8,0.0
Naya Zamana (1971 film)_1971,1971,2.0,1,5.0,8
Insaniyat Ke Devta_1993,1993,2,2.0,3,3.0
Khoon Aur Paani_1981,1981,2,2.0,3,4.0
Afsana Pyaar Ka_1991,1991,1.0,3,1.0,7
Bewaffa Se Waffa_1992,1992,0.0,2,0.0,6
Maha Chor_1976,1976,1,3.0,7,6.0
Thank You (2011 film)_2011,2011,4.0,3.0,8.0,5.0
Namumkin_1988,1988,1.0,2,3.0,3
Naam O Nishan_1987,1987,1,2.0,1,3.0
Abhinetri_1970,1970,2,2.0,2,7.0
Maan Apmaan_1979,1979,1,3.0,2,5.0
Dil Ki Baazi_1993,1993,2,3.0,3,8.0
Khiladi 786_2012,2012,5.0,3.0,15.0,9.0
Raunaq_1993,1993,0.0,1,0.0,2
Lahu Ke Do Rang (1997 film)_1997,1997,4,4.0,6,7.0
Balmaa_1993,1993,2,2.0,4,6.0
Ghayal (1990 film)_1990,1990,2.0,4,3.0,6
Hey Ram_2000,2000,4,6.0,8,7.0
Rakshak_1996,1996,6,3.0,7,4.0
