Joshila;3;2;1;[u'Shalini', u'Amar', u'Jailor'];[u'Amar', u'Jailor'];[u'Shalini'];1;1

Jugnu;0;0;0;[];[];[];1;1

Jwar Bhata;4;0;0;[u'Durgadas', u'Gayetri', u'Billoo', u'Durgadaspasses'];[];[];1;1

Jyot Jale;0;0;0;[];[];[];0;0
Kahani Hum Sab Ki;0;0;0;[];[];[];0;0
Kahani Kismat Ki;0;0;0;[];[];[];1;1

Kashmakash;0;0;0;[];[];[];1;1

Keemat;0;0;0;[];[];[];1;1

Khoon Khoon;0;0;0;[];[];[];1;1

Kachche Dhaage;3;1;0;[u'Rukshana', u'Dhananjay', u'Aaftab'];[u'Dhananjay'];[];1;1

Kunwara Badan;0;0;0;[];[];[];0;0
Loafer;2;1;1;[u'Ranjit', u'Anju'];[u'Ranjit'];[u'Anju'];0;0
Maha Sati Savitri;0;0;0;[];[];[];1;0

Manchali;0;0;0;[];[];[];0;0
Mehmaan;0;0;0;[];[];[];1;0

Mera Desh Mera Dharam;2;0;0;[u'Bangladesh', u'Pakistan'];[];[];0;0
Nafrat;0;0;0;[];[];[];1;0

Nai Duniya Naye Log;0;0;0;[];[];[];0;0
Naina;2;0;2;[u'Naina', u'young'];[];[u'Naina', u'young'];1;0

Namak Haraam;2;0;1;[u'Somu', u'Vicky'];[];[u'Vicky'];1;1

Naya Nasha;0;0;0;[];[];[];1;1

Nirdosh;0;0;0;[];[];[];0;0
Paanch Dushman;0;0;0;[];[];[];0;0
Rickshawala;0;0;0;[];[];[];0;0
Saudagar;6;3;1;[u'Phoolbanu', u'Moti', u'Her', u'Gur', u'Phulbanu', u'Mejuben'];[u'Moti', u'Her', u'Gur'];[u'Phoolbanu'];1;0

Shareef Budmaash;0;0;0;[];[];[];1;1

Yaadon Ki Baaraat;6;3;0;[u'Vijay', u'Ratan', u'Shakal', u'Monto', u'Shakaal', u'Shankar'];[u'Vijay', u'Ratan', u'Shankar'];[];1;1

Zanjeer;8;5;0;[u'Vijay', u'Diwali', u'Sher', u'Inspector', u'Khan', u'Mala', u'Khanna', u'Teja'];[u'Vijay', u'Sher', u'Inspector', u'Khan', u'Khanna'];[];0;0
27 Down;1;1;0;[u'Sanjay'];[u'Sanjay'];[];0;0
36 Ghante;1;1;0;[u'Dilawar'];[u'Dilawar'];[];0;0
5 Rifles;0;0;0;[];[];[];0;0
Aahat;1;1;0;[u'Bachchan'];[u'Bachchan'];[];1;0

Aap Ki Kasam;3;1;2;[u'his', u'Sunita', u'Kamal'];[u'Kamal'];[u'his', u'Sunita'];1;1

Aashiana;0;0;0;[];[];[];0;0
Ajanabee;11;5;2;[u'Diwan', u'Rohit', u'Moti', u'Bijli', u'Karimganj', u'Rahmi', u'Mr.', u'Bhaang', u'Deena', u'Rashmi', u'Chetan'];[u'Rohit', u'Moti', u'Bijli', u'Mr.', u'Chetan'];[u'Deena', u'Rashmi'];1;1

Albeli;0;0;0;[];[];[];0;0
Amir Garib;0;0;0;[];[];[];0;0
Ankur;8;3;1;[u'Surya', u'her', u'Saru', u'aged', u'Kaushalya', u'Pratap', u'Kishtayya', u'Lakshmi'];[u'Surya', u'her', u'Pratap'];[u'Lakshmi'];0;0
Apradhi;0;0;0;[];[];[];0;0
Azad Mohabbat;0;0;0;[];[];[];0;0
Badhti Ka Naam Dadhi;0;0;0;[];[];[];1;1

Badi Maa;6;2;3;[u'Durgadas', u'Hema', u'Dinesh', u'Ghanshyam', u'India', u'Usha'];[u'Dinesh', u'Ghanshyam'];[u'Hema', u'India', u'Usha'];1;1

Balak Dhruv;0;0;0;[];[];[];1;1

Bazaar Band Karo;0;0;0;[];[];[];0;0
Benaam;2;1;1;[u'Sheela', u'Amit'];[u'Amit'];[u'Sheela'];1;1

Bidaai;6;4;2;[u'Padma', u'Murli', u'Gauri', u'Parvati', u'Prabhakar', u'Sudhakar'];[u'Padma', u'Murli', u'Prabhakar', u'Sudhakar'];[u'Gauri', u'Parvati'];1;1

Call Girl;6;1;2;[u'the', u'Amar', u'night', u'Kamini', u'Maya', u'Sonachand'];[u'Amar'];[u'Kamini', u'Maya'];1;1

Charitraheen;0;0;0;[];[];[];0;0
Chattan Singh;0;0;0;[];[];[];0;0
Chhote Sarkar;0;0;0;[];[];[];1;0

Chor Chor;0;0;0;[];[];[];0;0
Chor Machaye Shor;2;1;1;[u'Vijay', u'Rekha'];[u'Vijay'];[u'Rekha'];0;0
