MOVIE NAME, CAST, MENTIONS, TOTAL CENTRALITY, COUNT, AVERAGE CENTRALITY
Dastaan,vishnu,0,416.0,275,1.5127272727272727
Dastaan,man,0,95.0,21,4.523809523809524
Dastaan,judge,0,6.0,13,0.46153846153846156
Dastaan,anil,0,74.0,75,0.9866666666666667
Dharkan,suraj,4,280.66666666666663,73,3.8447488584474883
Dharkan,deepak,8,344.0,77,4.467532467532467
Dharkan,father,1,62.416666666666664,21,2.9722222222222223
Dharkan,friend,3,448.5,56,8.008928571428571
Dharkan,kewal,4,0.0,45,0.0
Dharkan,doby,6,360.0,50,7.2
Dharkan,brother,2,60.333333333333336,16,3.7708333333333335
Pyar Ki Kahani,ravi,15,586.8333333333334,113,5.1932153392330385
Pyar Ki Kahani,ram,9,490.16666666666663,137,3.5778588807785887
Reshma Aur Shera,father,3,268.0,27,9.925925925925926
Reshma Aur Shera,shera,10,83.33333333333333,128,0.6510416666666666
Reshma Aur Shera,gopal,2,105.33333333333333,20,5.266666666666667
Reshma Aur Shera,brother,2,239.33333333333331,24,9.972222222222221
Reshma Aur Shera,chotu,6,438.16666666666663,65,6.74102564102564
Do Chor,tony,0,235.0,52,4.519230769230769
Do Chor,the,0,0.0,107,0.0
Do Chor,father,0,12.5,4,3.125
Do Chor,man,0,0.0,0,0.0
Sanjog,son,3,84.0,16,5.25
Sanjog,father,2,234.5,25,9.38
Sanjog,mohan,9,32.0,63,0.5079365079365079
Dushman,surjit,35,1212.5,426,2.846244131455399
Dushman,father,1,525.6666666666666,50,10.513333333333332
Dushman,judge,6,350.4333333333334,104,3.3695512820512827
Dushman,man,1,177.0,13,13.615384615384615
Dushman,singh,1,13.0,8,1.625
Ek Bechara,rajen,2,46.0,20,2.3
Ek Bechara,raibahadur,18,399.7499999999999,206,1.9405339805825237
Ek Bechara,father,5,52.83333333333332,47,1.1241134751773048
Ek Bechara,shekhar,8,126.5,60,2.1083333333333334
Ek Bechara,shekar,3,33.83333333333333,20,1.6916666666666664
Ek Bechara,man,1,94.0,23,4.086956521739131
Ek Bechara,rajan,19,2246.0833333333335,200,11.230416666666667
Ek Bechara,brother,2,515.4928571428571,23,22.41273291925466
Sharmeelee,ajit,14,688.497619047619,128,5.378887648809523
Sharmeelee,kapoor,1,70.0,22,3.1818181818181817
Sharmeelee,captain,5,0.0,35,0.0
Ek Hasina Do Diwane,amar,3,106.0,55,1.9272727272727272
Ek Hasina Do Diwane,prakash,6,326.0,60,5.433333333333334
Shri Krishna Leela,raja,5,0.0,41,0.0
Shri Krishna Leela,krishna,6,241.83333333333331,28,8.636904761904761
Tere Mere Sapne,anand,15,453.5,158,2.8702531645569622
Tere Mere Sapne,dr.,13,0.0,0,0.0
Tere Mere Sapne,father,1,64.0,16,4.0
Tere Mere Sapne,kothari,7,95.0,47,2.021276595744681
Tere Mere Sapne,phoolchand,2,33.0,25,1.32
Tere Mere Sapne,dr,13,16.0,22,0.7272727272727273
Tere Mere Sapne,kumar,1,39.0,21,1.8571428571428572
Gaon Hamara Shaher Tumhara,pandey,2,229.83333333333331,26,8.83974358974359
Gaon Hamara Shaher Tumhara,chandershekhar,8,0.0,68,0.0
Gaon Hamara Shaher Tumhara,brij,16,751.5238095238094,162,4.639035861258082
Garam Masala,the,0,3436.3809523809523,354,9.707290825934894
Garam Masala,captain,0,7979.045238095247,266,29.996410669531006
Garam Masala,man,0,3064.8619047619054,69,44.418288474810225
Gomti Ke Kinare,nekiram,9,0.0,89,0.0
Grahan,bhaskar,2,40.0,21,1.9047619047619047
Grahan,jaggan,9,24.833333333333332,88,0.28219696969696967
Grahan,brother,2,25.5,16,1.59375
Jawani Diwani,thakur,3,121.0,39,3.1025641025641026
Jawani Diwani,ravi,3,62.0,23,2.6956521739130435
Jawani Diwani,vijay,2,0.0,14,0.0
Joroo Ka Ghulam,artist,3,154.0,32,4.8125
Joroo Ka Ghulam,father,8,318.33333333333337,82,3.882113821138212
Joroo Ka Ghulam,man,2,200.5,24,8.354166666666666
Joroo Ka Ghulam,brother,1,184.0,15,12.266666666666667
Joroo Ka Ghulam,rajesh,18,285.5,196,1.4566326530612246
Koshish,kanu,0,6.0,3,2.0
Lalkaar,army,3,370.5,62,5.975806451612903
Lalkaar,rajan,11,117.33333333333334,117,1.002849002849003
Lalkaar,colonel,1,0.0,14,0.0
Lalkaar,ram,5,299.8333333333333,85,3.5274509803921568
Maya Darpan,taran,11,661.4333333333333,63,10.498941798941798
Maya Darpan,brother,1,360.73333333333335,30,12.024444444444445
Mere Jeevan Saathi,vinod,0,3088.9000000000005,211,14.639336492890997
Mere Jeevan Saathi,prakash,0,2356.5,323,7.295665634674923
Mere Jeevan Saathi,father,0,368.3333333333333,81,4.5473251028806585
Mere Jeevan Saathi,man,0,373.5,28,13.339285714285714
Mere Jeevan Saathi,captain,0,900.6666666666667,133,6.771929824561404
Pakeezah,salim,0,50.5,114,0.44298245614035087
Pakeezah,father,0,128.0,19,6.7368421052631575
Pakeezah,shahabuddin,0,215.0,57,3.7719298245614037
Parichay,saheb,0,987.0000000000001,64,15.421875000000002
Parichay,nilesh,0,539.3333333333334,30,17.977777777777778
Parichay,father,0,120.5,30,4.016666666666667
Parichay,ravi,0,668.6666666666666,128,5.223958333333333
Parichay,man,0,307.0,20,15.35
Parichay,rai,0,181.0,76,2.3815789473684212
Piya Ka Ghar,ram,8,235.5,60,3.925
Raampur Ka Lakshman,prakash,11,355.0,105,3.380952380952381
Raampur Ka Lakshman,kedarnath,3,51.0,32,1.59375
Raampur Ka Lakshman,lakshman,12,146.0,118,1.2372881355932204
Raampur Ka Lakshman,ratanlal,3,25.0,57,0.43859649122807015
Raampur Ka Lakshman,ram,3,16.5,16,1.03125
Raja Jani,rajkumar,2,322.5,43,7.5
Rakhi Aur Hathkadi,father,3,41.666666666666664,11,3.7878787878787876
Rakhi Aur Hathkadi,compassionate,2,0.0,17,0.0
Rakhi Aur Hathkadi,ramesh,2,126.0,19,6.631578947368421
Rakhi Aur Hathkadi,suraj,7,45.166666666666664,56,0.806547619047619
Rakhi Aur Hathkadi,raja,7,144.0,61,2.360655737704918
Rakhi Aur Hathkadi,man,2,41.0,20,2.05
Rakhi Aur Hathkadi,brother,3,170.0,54,3.1481481481481484
Rivaaj,son,1,9.5,13,0.7307692307692307
Rivaaj,shekhar,15,3991.633333333334,217,18.394623655913982
Rivaaj,brother,2,62.0,13,4.769230769230769
Roop Tera Mastana,ajit,11,486.0,83,5.855421686746988
