Movie Name, Cast Name, Total Centrality, Average Centrality
Naina,naina,0.0,0.0
Naina,young,0.0,0.0
Naina,shah,368.5,12.706896551724139
Namak Haraam,vicky,0.0,0.0
Khudai,padmini,109.33333333333333,1.9181286549707601
Saudagar,phoolbanu,58.0,2.9
Saudagar,daughter,7.0,1.75
Laadla,kaajal,114.0,1.7538461538461538
Laadla,mother,239.38333333333333,6.469819819819819
Laadla,sheetal,3580.683333333335,10.85055555555556
Zanjeer,mala,503.1666666666668,2.5671768707483
36 Ghante,kamini,0.0,0.0
Mammo,sister,62.166666666666664,3.1083333333333334
Mohra,roma,146.83333333333331,2.6220238095238093
Aahat,woman,50.5,3.8846153846153846
Nazar Ke Samne,sister,112.0,7.0
Ajanabee,woman,226.0,9.04
Ajanabee,deena,304.0,1.3571428571428572
Ajanabee,girl,257.7833333333333,13.56754385964912
Ajanabee,diwan,240.5,1.0190677966101696
Ajanabee,mother,48.0,2.823529411764706
Ajanabee,rashmi,303.5,1.4050925925925926
Prem Shakti,gauri,33.0,0.8461538461538461
Prem Yog,woman,61.0,5.083333333333333
Prem Yog,anita,80.0,2.6666666666666665
Ankur,saru,330.0,4.074074074074074
Ankur,lakshmi,529.5,2.2436440677966103
Sangdil Sanam,mother,57.0,1.7272727272727273
Sangdil Sanam,girl,221.0,9.208333333333334
Sangdil Sanam,sanam,76.0,0.4342857142857143
Teesra Kaun?,woman,43.0,3.5833333333333335
Badi Maa,hema,112.0,3.027027027027027
Badi Maa,girl,151.5,8.416666666666666
Badi Maa,daughter,18.5,0.6851851851851852
The Gentleman,juhi,0.0,0.0
Udhaar Ki Zindagi,woman,118.33333333333333,6.96078431372549
Udhaar Ki Zindagi,vasudev,312.5,4.401408450704225
Woh Chokri,girl,295.6666666666667,4.846994535519126
Woh Chokri,mother,457.00000000000006,5.8589743589743595
Woh Chokri,daughter,103.5,2.1122448979591835
Benaam,sheela,0.0,0.0
Yaar Gaddar,saif,290.0,3.3333333333333335
Yeh Dillagi,mother,179.66666666666666,3.455128205128205
Yeh Dillagi,sapna,266.5,1.8767605633802817
Yeh Dillagi,girl,88.5,4.0227272727272725
Yeh Dillagi,vicky,32.0,0.20512820512820512
Bidaai,padma,117.0,1.8
Bidaai,gauri,22.0,0.7857142857142857
Bidaai,parvati,175.0,5.0
Call Girl,mother,0.0,0.0
Call Girl,woman,183.0,6.777777777777778
Call Girl,sonachand,0.0,0.0
Call Girl,kamini,72.0,0.8372093023255814
Call Girl,maya,4407.573448773448,54.41448702189442
Zakhmi Dil,vandana,474.0,8.172413793103448
Zakhmi Dil,gayatri,165.0,2.22972972972973
Zakhmi Dil,guddi,22.0,0.7333333333333333
Zakhmi Dil,mala,107.5,4.3
Chor Machaye Shor,rekha,302.0,3.511627906976744
Chor Machaye Shor,girl,48.0,8.0
Chor Machaye Shor,vijay,144.0,1.3980582524271845
Chowkidar,girl,52.33333333333334,1.8690476190476193
Chowkidar,bela,46.0,1.2777777777777777
Chowkidar,lala,106.0,1.2470588235294118
Chowkidar,radha,218.0,2.9066666666666667
Chowkidar,dinanath,137.0,2.795918367346939
Chowkidar,sister,746.0,10.36111111111111
Dilwale Dulhania Le Jayenge,simran,723.3333333333334,2.260416666666667
Dilwale Dulhania Le Jayenge,mother,136.39999999999998,2.005882352941176
Karan Arjun,sonia,442.4666666666666,3.1380614657210395
Karan Arjun,woman,144.0,7.578947368421052
Karan Arjun,durga,424.33333333333337,1.7390710382513663
Karan Arjun,bindiya,743.8333333333333,21.877450980392155
Barsaat,tina,226.5,2.603448275862069
Rangeela,mili,150.0,1.1450381679389312
Rangeela,daughter,76.0,6.333333333333333
Sabse Bada Khiladi,gomti,42.166666666666664,1.3177083333333333
Sabse Bada Khiladi,jamna,2028.1666666666667,15.482188295165395
Sabse Bada Khiladi,sunita,558.6666666666665,5.078787878787877
Dost,kaajal,0.0,0.0
Trimurti,satyadevi,0.0,0.0
Ram Jaane,bela,548.6666666666667,5.96376811594203
Dulhan,radha,170.0,1.5454545454545454
Dulhan,daughter,6.0,2.0
Akele Hum Akele Tum,kiran,618.8333333333334,2.714181286549708
Aatank Hi Aatank,ganga,29.0,4.833333333333333
Aatank Hi Aatank,gogia,31.666666666666664,0.9313725490196078
Aatank Hi Aatank,pathan,1309.166666666667,12.468253968253972
Ek Anek Aur Ekta,sister,190.33333333333317,4.325757575757572
Ab Insaf Hoga,woman,27.0,4.5
Geeta Mera Naam,nita,14.0,1.4
Geeta Mera Naam,geeta,0.0,0.0
Goonj,sonia,169.0,9.38888888888889
Goonj,girl,32.0,1.6
Goonj,meena,1581.8333333333335,3.195622895622896
Goonj,reena,115.5,1.673913043478261
Bewafa Sanam,mother,503.4439393939395,6.139560236511457
Bewafa Sanam,sheetal,7900.3749639249645,51.30113612938289
Bombay,shaila,180.0,1.0975609756097562
Bombay,banu,128.0,9.142857142857142
Criminal,ramya,56.0,1.302325581395349
Hawas,anil,24.0,0.2891566265060241
Hawas,daughter,262.16666666666663,13.798245614035086
Hawas,kumar,23.0,2.090909090909091
Humshakal,woman,78.0,2.689655172413793
Humshakal,lalita,584.5,4.752032520325203
Humshakal,girl,204.5,4.260416666666667
Humshakal,radha,298.0,1.505050505050505
Humshakal,daughter,163.0,4.2894736842105265
Humshakal,rani,106.0,1.1397849462365592
Imtihaan,preeti,363.0,2.0508474576271185
Imtihaan,daughter,108.0,4.5
Imtihaan,vicky,341.0,3.515463917525773
Guddu,salina,268.0,3.9411764705882355
Ishq Ishq Ishq,pooja,161.66666666666666,5.388888888888888
Ishq Ishq Ishq,pahar,5.0,0.5
Haqeeqat,bhavani,41.0,3.4166666666666665
Haqeeqat,bhabhi,0.0,0.0
Haqeeqat,kamini,1213.6666666666665,27.58333333333333
Hathkadi,girl,91.83333333333331,2.4819819819819813
Hathkadi,home,30.666666666666657,0.39826839826839816
Kasauti,mother,91.0,7.0
Kasauti,sapna,384.0,2.9767441860465116
Khotey Sikkay,daughter,257.0333333333333,8.863218390804597
Janam Kundli,kiran,432.6666666666667,3.6358543417366946
Kalyug Ke Avtaar,reena,62.5,4.166666666666667
Kalyug Ke Avtaar,babli,60.0,2.142857142857143
Kartavya,mother,194.66666666666669,4.634920634920635
Kora Kagaz,archana,239.0,2.8795180722891565
Kismat,geeta,34.5,0.71875
Kunwara Baap,bharathi,28.0,1.12
Majboor,mother,56.0,6.222222222222222
Manoranjan,woman,230.33333333333326,8.530864197530862
Manoranjan,nisha,21.0,0.28
Oh Darling! Yeh Hai India,india,920.1666666666667,6.572619047619048
Oh Darling! Yeh Hai India,miss,97.0,0.7028985507246377
Mere Saath Chal,geeta,17.0,0.22666666666666666
Paappi Devataa,reshma,56.0,6.222222222222222
Raasaiyya,mother,97.0,6.928571428571429
Raasaiyya,anita,422.3333333333333,8.98581560283688
Raja,madhu,286.9,1.8509677419354837
Ram Jaane,bela,555.9166666666667,6.042572463768117
Rajnigandha,deepa,485.66666666666663,3.794270833333333
Ram Shastra,sister,0.0,0.0
Rangeela,mili,171.33333333333331,1.307888040712468
Rangeela,daughter,71.66666666666666,5.972222222222221
Roti Kapda Aur Makaan,mohan,30.0,1.0344827586206897
Roti Kapda Aur Makaan,sheetal,45.5,0.5986842105263158
Roti Kapda Aur Makaan,girl,150.0,12.5
Roti Kapda Aur Makaan,babu,128.0,11.636363636363637
Rock Dancer,sister,26.5,2.9444444444444446
Sauda (film),jyoti,2261.3500000000004,13.302058823529414
Sauda (film),girl,67.75,11.291666666666666
Surakshaa,amar,93.0,1.9787234042553192
Surakshaa,kiran,438.5,5.158823529411765
Vachan,girl,327.0,19.235294117647058
Vachan,kamla,3321.933333333333,24.60691358024691
Vachan,shyama,176.0,8.380952380952381
Takkar,mohini,328.1666666666667,2.3953771289537715
Taqdeerwala,mother,1731.8190476190478,7.8362852833441075
Taqdeerwala,woman,0.0,0.0
Aaja Sanam,shanti,205.0,3.4166666666666665
Aakhri Daao,daughter,302.6666666666667,9.458333333333334
Veergati,girl,18.0,2.5714285714285716
