movieTitle_year,singer_name,gender,song_count
Janbaaz_1986,Sadhana Sargam,FEMALE,2
Janbaaz_1986,Manhar Udhas,UNKNOWN,2
Janbaaz_1986,Sapna Mukherjee,FEMALE,3
Janbaaz_1986,Ilie Nitu,MALE,1
Janbaaz_1986,Kishore Kumar,MALE,1
Johny Mera Naam_1970,Instrumental,UNKNOWN,2
Johny Mera Naam_1970,Kishore Kumar,MALE,3
Johny Mera Naam_1970,Asha Bhosle,FEMALE,2
Johny Mera Naam_1970,Usha Khanna,FEMALE,1
Johny Mera Naam_1970,Lata Mangeshkar,FEMALE,2
Jeeva (1986 film)_1986,Asha Bhosle,FEMALE,5
Jeeva (1986 film)_1986,Amit Kumar,FEMALE,1
Jeeva (1986 film)_1986,Suresh Wadkar,MALE,1
Kab? Kyoon? Aur Kahan?_1970,Mohammed Rafi,MALE,2
Kab? Kyoon? Aur Kahan?_1970,Lata Mangeshkar,FEMALE,1
Kab? Kyoon? Aur Kahan?_1970,Asha Bhosle,FEMALE,2
Kab? Kyoon? Aur Kahan?_1970,Usha Khanna,FEMALE,1
Jwala_1971,Mohammed Rafi,MALE,1
Jwala_1971,Lata Mangeshkar,FEMALE,6
Jwala_1971,Asha Bhosle,FEMALE,1
Jwala_1971,Sudha Malhotra,FEMALE,1
Jwala_1971,Geeta Dutt,FEMALE,1
Jwala_1971,Mukesh (singer),MALE,1
Jwala_1971,Manna Dey,MALE,1
Kaanch Ki Deewar_1986,Anuradha Paudwal,FEMALE,3
Kaanch Ki Deewar_1986,Asha Bhosle,FEMALE,2
Kaanch Ki Deewar_1986,Mohammed Rafi,MALE,1
Kaanch Ki Deewar_1986,Kaanch Ki Deewar,UNKNOWN,2
Kaanch Ki Deewar_1986,Suresh Wadkar,MALE,2
Khilona (1970 film)_1970,Lata Mangeshkar,FEMALE,1
Khilona (1970 film)_1970,Mohammed Rafi,MALE,3
Khilona (1970 film)_1970,Asha Bhosle,FEMALE,2
Khilona (1970 film)_1970,Kishore Kumar,MALE,1
Khilona (1970 film)_1970,Manna Dey,MALE,1
Kala Dhanda Goray Log_1986,Shabbir Kumar,UNKNOWN,2
Kala Dhanda Goray Log_1986,Anuradha Paudwal,FEMALE,1
Kala Dhanda Goray Log_1986,S. Janaki,FEMALE,1
Kala Dhanda Goray Log_1986,Master of None,UNKNOWN,1
Maa Aur Mamta_1970,Mohammed Rafi,MALE,3
Maa Aur Mamta_1970,Lata Mangeshkar,FEMALE,3
Maa Aur Mamta_1970,Manna Dey,MALE,1
Maa Aur Mamta_1970,Asha Bhosle,FEMALE,1
Karma (1986 film)_1986,Dilip Kumar,MALE,2
Karma (1986 film)_1986,Manhar Udhas,UNKNOWN,3
Karma (1986 film)_1986,Mohammad Aziz,UNKNOWN,1
Karma (1986 film)_1986,Suresh Wadkar,MALE,1
Karma (1986 film)_1986,Kavita Krishnamurthy,FEMALE,3
