movie-name,year-of-release,trailer,movie
ya_rab,2014,1,0
7_hours_to_go,2016,1,0
luckhnowi_ishq,2015,1,0
talaash,2012,1,0
yeh_jawaani_hai_deewani,2013,1,0
mastizaade,2016,1,0
om,2014,1,0
life_is_beautiful!,2014,1,0
road,_movie,2010,1,0
saanjh,2017,1,0
parched,2016,1,0
anamika,2008,1,0
raajneeti,2010,1,0
barfi!,2012,1,0
sweetiee_weds_nri,2017,1,0
hate_story_2,2014,1,0
payback,2010,1,0
chalk_n_duster,2016,1,0
bhoomi,2017,1,0
happy_husbands,2011,1,0
holiday,2014,1,0
pyaar_impossible!,2010,1,0
dhobi_ghat,2011,1,0
ek_thi_daayan,2013,1,0
finding_fanny,2014,1,0
buddhah_hoga_tera_baap,2011,1,0
secret_superstar,2017,1,0
acid_factory,2009,1,0
halla_bol,2008,1,0
guddu_ki_gun,2015,1,0
great_grand_masti,2016,1,0
msg:_the_warrior_lion_heart,2016,1,0
baahubali,2015,1,0
direct_ishq,2016,1,0
maan_gaye_mughal,2008,1,0
jayantabhai_ki_luv_story,2013,1,0
meri_dad_ki_maruti,2013,1,0
dev,2009,1,0
rockstar,2011,1,0
matru_ki_bijlee_ka_mandola,2013,1,0
delhi_belly,2011,1,0
kites,2010,1,0
waiting,2016,1,0
tubelight,2017,1,0
housefull,2010,1,0
tanu_weds_manu,2011,1,0
fitoor,2016,1,0
mardaani,2014,1,0
desi_kattey,2014,1,0
tahaan,2008,1,0
love_in_bombay,2013,1,0
sharafat_gayi_tel_lene,2015,1,0
no_problem,2010,1,0
sahi_dhandhe_galat_bande,2011,1,0
hindi_ka_napak_ko_jawab:_msg_lion_heart_2,2017,1,0
jackpot,2013,1,0
chaar_sahibzaade:_rise_of_banda_singh_bahadur,2016,1,0
ishq_ke_parindey,2015,1,0
gabbar_is_back,2015,1,0
mary_kom,2014,1,0
contract,2008,1,0
332_mumbai_to_india,2010,1,0
island_city,2016,1,0
u_me_aur_hum,2008,1,0
babu_ji_ek_ticket_bambai,2017,1,0
yea_toh_two_much_ho_gayaa,2016,1,0
angry_young_man,2014,1,0
zubaan,2016,1,0
lakshmi,2014,1,0
dil_kabaddi,2008,1,0
agneepath,2012,1,0
dilliwali_zaalim_girlfriend,2015,1,0
shorgul,2016,1,0
singh_is_kinng,2008,1,0
satya_2,2013,1,0
golmaal_again,2017,1,0
raja_natwarlal,2014,1,0
firangi,2017,1,0
i_am_kalam,2011,1,0
welcome_to_sajjanpur,2008,1,0
main_hoon_rajinikanth,2015,1,0
kaagaz_ke_fools,2015,1,0
i,_me,_aur_main,2013,1,0
yeh_hai_india,2017,1,0
coffee_with_d,2017,1,0
sanam_re,2016,1,0
revolver_rani,2014,1,0
love_story_2050,2008,1,0
calender_girls,2015,1,0
partition_1947,2017,1,0
fashion,2008,1,0
jannat_2,2012,1,0
santa_banta_pvt_ltd,2016,1,0
kahaani_2,2016,1,0
rowdy_rathore,2012,1,0
zid,2014,1,0
yuvvraaj,2008,1,0
main_aurr_mrs_khanna,2009,1,0
msg,2015,1,0
sonali_cable,2014,1,0
jai_ho,2014,1,0
shandaar,2015,1,0
red_alert:_the_war_within,2010,1,0
koyelaanchal,2014,1,0
highway,2014,1,0
6_,2014,1,0
kamaal_dhamaal_malamaal,2012,1,0
love_you_to_death,2012,1,0
nh,2015,1,0
city_lights,2014,1,0
kaabil,2017,1,0
chase,2010,1,0
mumbai_delhi_mumbai,2014,1,0
dhoondte_reh_jaoge,2009,1,0
thodi_thodi_si_manmaaniyan,2017,1,0
haider,2014,1,0
dear_zindagi,2016,1,0
charlie_kay_chakkar_mein,2015,1,0
sulemani_keeda,2014,1,0
fukrey,2013,1,0
padmavati,2017,1,0
daddy,2017,1,0
shab,2017,1,0
welcome_2_karachi,2015,1,0
saheb,_biwi_aur_gangster_returns,2013,1,0
baadshaho,2017,1,0
ishaqzaade,2012,1,0
pink,2016,1,0
diwangi_ne_had_kar_di,2010,1,0
babloo_happy_hai,2014,1,0
hasee_toh_phasee,2014,1,0
kai_po_che!,2013,1,0
hum_tum_aur_ghost,2010,1,0
zor_lagaa_ke,2009,1,0
chinar_daastaan,2015,1,0
prem_kaa_game,2010,1,0
kismat_konnection,2008,1,0
the_xpose,2014,1,0
race,2008,1,0
yeh_khula_aasmaan,2012,1,0
raabta,2017,1,0
shamitabh,2015,1,0
ragini_mms_2,2014,1,0
mona_darling,2017,1,0
maatr,2017,1,0
memories_in_march,2011,1,0
dunno_y,2010,1,0
i_love_ny,2015,1,0
chashme_baddoor,2013,1,0
hello,2008,1,0
the_japanese_wife,2010,1,0
dee_saturday_night,2014,1,0
ishq_forever,2016,1,0
zilla_ghaziabad,2013,1,0
help,2010,1,0
one_night_stand,2016,1,0
bazaar,2014,1,0
rakta_charitra,2010,1,0
war_chhod_na_yaar,2013,1,0
amit_sahni_ki_list,2014,1,0
nakshatra,2010,1,0
satyagraha,2013,1,0
hum_hai_teen_khurafaati,2014,1,0
tamasha,2015,1,0
crook,2010,1,0
masuam,2011,1,0
chennai_express,2013,1,0
i_am,2011,1,0
ready,2011,1,0
balwinder_singh_famous_ho_gaya,2014,1,0
lekar_hum_deewana_dil,2014,1,0
chargesheet,2011,1,0
life_mein_twist_hai,2014,1,0
mujhse_fraaandship_karoge,2011,1,0
kya_kool_hain_hum_3,2016,1,0
rajjo,2013,1,0
daawat,2014,1,0
oh_my_god,2012,1,0
mirza_juuliet,2017,1,0
a_gentleman,2017,1,0
golliyon_ki_rasleela_ram,2013,1,0
chakravyuh,2012,1,0
wedding_pullav,2015,1,0
life_partner,2009,1,0
mr_joe_b,2014,1,0
four_pillars_of_basement,2015,1,0
gippi,2013,1,0
rann,2010,1,0
special_26,2013,1,0
buddha_in_a_traffic_jam,2016,1,0
miss_tanakpur_haazir_ho,2015,1,0
humshakals,2014,1,0
umrika,2016,1,0
ramayana:_the_epic,2010,1,0
rock_on_2,2016,1,0
love_shagun,2016,1,0
chaar_sahibzaade,2014,1,0
romeo,2017,1,0
fever,2016,1,0
ghayal_once_again,2016,1,0
pankh,2010,1,0
ek_haseena_thi_ek_deewana_tha,2017,1,0
u_r_my_jaan,2011,1,0
i_hate_luv_storys,2010,1,0
anjaana_anjaani,2010,1,0
jeena_hai_toh_thok_daal,2012,1,0
enemmy,2013,1,0
jaana_kahan_se_aayi_hai,2010,1,0
baahubali_2:_the_conclusion,2017,1,0
paisa_ho_paisa,2015,1,0
ugly_aur_pagli,2008,1,0
te3n,2016,1,0
vicky_donor,2012,1,0
beiimaan_love,2016,1,0
mein_terrorist_nahi_hoon,2017,1,0
phir_kabhi,2009,1,0
3_idiots,2009,1,0
the_dirty_picture,2011,1,0
f,2011,1,0
bombay_talkies,2013,1,0
golmaal_returns,2008,1,0
ek_tha_tiger,2012,1,0
bachna_ae_haseeno,2008,1,0
accident_on_hill_road,2009,1,0
mumbai_mast_kallander,2011,1,0
gulaab_gang,2014,1,0
bajrangi_bhaijaan,2015,1,0
tashan,2008,1,0
saas_bahu_aur_sensex,2008,1,0
always_kabhi_kabhi,2011,1,0
ek_villain,2014,1,0
bhoot_returns,2012,1,0
race_2,2013,1,0
jai_jawaan_jai_kisaan,2015,1,0
calapor,2013,1,0
rangrezz,2013,1,0
mera_shadi_karao,2013,1,0
one_by_two,2014,1,0
gangs_of_ghosts,2014,1,0
bheja_fry_2,2011,1,0
ladies_vs_ricky_bahl,2011,1,0
singh_saab_the_great,2013,1,0
sarbjit,2016,1,0
hostel,2011,1,0
bloody_isshq,2013,1,0
filmistaan,2014,1,0
jigariyaa,2014,1,0
?_:_a_question_mark,2012,1,0
warrior_savitri,2016,1,0
dear_maya,2017,1,0
haramkhor,2017,1,0
peepli_live,2010,1,0
machine,2017,1,0
sooper_se_ooper,2013,1,0
baaghi,2016,1,0
chillar_party,2011,1,0
force,2011,1,0
chandni_chowk_to_china,2009,1,0
runningshaadi,2017,1,0
tumhari_sulu,2017,1,0
yaariyan,2014,1,0
ghanchakkar,2013,1,0
tera_kya_hoga_johny,2010,1,0
thoda_pyaar_thoda_magic,2008,1,0
not_a_love_story,2011,1,0
badrinath_ki_dulhania,2017,1,0
heros,2008,1,0
akaash_vani,2013,1,0
khel_toh_ab_shuru_hoga,2016,1,0
kya_dilli_kya_lahore,2014,1,0
